batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
-133.5906219,-19.46788979,-85.5357666,-74.67469788,-101.6373596,-151.2802887,-206.529129,-87.47937012,-74.1577301,-65.45456696,-84.89510345,-61.98259354
-171.9748535,-207.5845337,-81.08811951,-67.99408722,-70.08535004,-91.51169586,-68.56291199,-96.26816559,-97.7062912,-104.7190247,-105.9093857,-0.575533271
-87.22219086,-126.5027618,-244.1644592,-37.30147934,-121.463707,-111.3951569,-108.2516556,15.59671211,-104.7290268,-88.78684998,-88.59252167,-252.4839478
-82.65257263,-30.9286232,11.16008759,-132.5708313,-66.34072113,-43.6431694,-58.04452515,-344.7950134,-79.68153381,-161.5614929,-251.1278076,-40.54130173
-201.3663177,-64.83052063,-120.8923187,-151.6743622,-67.73660278,-91.62314606,-78.39612579,-65.80753326,-93.8807373,-88.23508453,-19.10271645,-102.3686523
-62.19940186,-85.09898376,-110.8836365,-39.2049675,-60.76898575,-69.39778137,-129.2302551,-59.6877594,-87.39593506,-49.93157578,-118.3704529,-68.77534485
-32.55970764,-41.992939,-111.1294479,-89.68914795,-29.88539696,-88.30991364,-83.51794434,-131.4691467,-77.97725677,-113.4817734,-83.06381989,-98.56708527
-58.49157715,-43.06362915,-85.65642548,-116.2569351,-23.65649414,-102.3726425,-97.12107086,-101.8130569,-90.22148895,-85.32925415,-94.19955444,-161.8070526
-135.6305847,-70.07624054,-139.3821564,-75.68340302,-374.6144409,-44.72784042,-96.14984894,-80.00987244,-94.04836273,-106.8358765,-102.332222,-64.68733978
-218.2767944,-78.75428009,-99.15769196,-123.9015884,-26.55315399,-62.08900452,-115.5957413,-37.01279449,-51.7239151,-51.77232361,-76.99164581,-117.4900055
-104.684761,-95.01594543,-122.4219894,-24.52042007,-94.84568024,-82.11922455,-71.42044067,-114.7872314,-61.63792038,-16.24192238,-51.71617126,-149.2355957
-93.02256012,-98.67793274,-87.41822052,-53.05898285,-110.819397,-139.9443512,-193.561264,-89.40493774,-37.88008118,-72.05124664,-147.6981964,-104.3234558
-61.60956573,-35.07035446,-16.64987755,-52.69464874,-131.3803101,-49.19396591,-113.7878265,-54.83534622,-76.89108276,-102.0810089,-67.44776154,-44.58454514
-79.19943237,-67.43590546,-52.1548996,-80.08454895,-40.40522003,-86.61126709,-94.91218567,-141.4337769,-96.31895447,-110.5067902,-68.96987152,-80.51095581
-71.87004089,-110.6440964,-166.4173737,-121.0205612,-47.73755264,-70.12275696,-42.25377655,-95.63626099,-26.57663727,-61.27035522,-31.38344193,-60.388237
-108.6899567,-387.8387451,-87.82053375,-53.38603592,30.66538429,-26.73124313,-253.5961304,-86.40023041,-69.16670227,-79.95227051,-116.1090546,-78.07263947
-139.4446106,-99.4057312,-98.41230011,-220.8015594,-80.91114044,-79.91644287,-86.86856079,-42.12202835,-73.81332397,-68.34954834,-81.79203033,-66.07228851
-55.49132538,-57.63238144,-113.5852356,-67.95384979,-216.0167694,-64.93077087,-63.84846115,-72.11456299,-110.6193085,-38.08141708,-67.171875,-71.23334503
-102.827507,-93.04943848,-114.884201,-80.92025757,-108.4028473,-70.19962311,-77.24504089,-116.919136,-133.8671265,-66.58921814,-98.1660614,-64.32056427
-43.53245926,-46.19043732,-99.41352081,-97.8055954,-96.34842682,-45.71382904,-107.2025223,-86.42612457,-108.6176147,-75.01863861,-132.2171783,-93.55722809
-60.45757675,-141.0673523,-27.34825706,-56.40792847,-54.6167717,-125.7866669,-312.9725952,-65.74384308,-83.71994781,-68.22527313,-81.85623932,-76.93372345
-46.39604187,-46.82104874,-114.4550018,-56.32958603,-144.4036713,-120.7865067,29.75686264,-119.3654633,-8.210300446,-71.73226929,-68.88619995,-106.5821838
-79.96391296,-109.0812149,-86.65294647,-99.74595642,-63.93133163,-127.4241714,-132.2750854,-31.29844666,-168.2888184,-163.2993317,-101.2311478,-102.2812195
-117.128418,-39.5677681,-54.03712463,-102.7971954,-80.57954407,-72.99864197,-187.076416,-115.0590286,-41.64071655,-59.9166069,-60.88100052,-53.53944397
-57.16591263,-85.90971375,-29.69665337,-156.6257782,-145.0530396,-219.9957733,-66.14292145,-155.4274902,-37.62288284,-69.37345886,-80.71316528,-87.93904114
-58.9829216,-75.82161713,-102.5067291,-44.19778061,-68.94482422,-60.61724854,-64.04592896,-88.25598145,-122.3034134,-93.24806976,-85.26537323,-27.8318367
