LR_00025,LR_0005,LR_00075,LR_001
-90.34760237,-80.42188263,-48.45114454,-58.61296717
-49.68419266,-47.27750397,-127.6730334,-46.92302704
-87.31415594,-62.38168683,-44.67304611,-54.36260287
-80.3516232,-31.40068722,-78.42510223,-42.46276371
-119.0128905,-151.3841171,-77.560366,-34.17529678
-37.09239801,-51.6235412,-60.17568588,-77.72675118
-75.16197459,-40.84078217,-46.20468648,-40.88566844
-58.08820359,-4.470804533,-78.62808355,-39.37859297
-102.4356842,-70.19902548,-25.92154666,-18.26428914
-137.8110415,-128.7210935,-38.31250445,-71.05645625
-78.80065219,-81.53990269,-47.35183589,-60.83672714
-120.9039319,-100.5389849,-141.5961698,-112.5295461
-36.80618031,-63.83879519,-74.13800177,-27.88323212
-94.15674033,-117.0874303,6.388614017,-96.98941547
-45.49435838,-27.33556684,-109.9263458,-50.22735534
-65.33916345,-54.10297903,-43.93167242,-126.1394958
-89.04131698,-26.71257845,-99.50878269,-66.38774173
-111.4058736,-49.08879471,-157.4094696,-50.71175066
-52.79558563,-62.67623901,-27.68423128,-36.08626862
-64.73997253,-85.8122959,-114.682195,-24.05425898
-83.24800332,-50.09143766,-47.40247091,-34.18086656
-137.7559916,-40.25573254,-69.14336173,-133.1227124
-65.24194717,-99.26057435,-138.8718465,-72.64436595
-107.5230942,-60.05384016,-47.29424604,-59.55377134
-113.77823,-80.36030627,0.585727373,-75.5477333
-86.76343123,-84.58992958,-127.525678,-86.86101532
-117.740626,-130.9161768,-43.96964169,-97.084836
-84.17116167,-65.83135943,-66.52280252,-55.83254177
-55.28138543,-83.62274552,-78.57707723,-136.1373676
-91.4746933,-98.64499664,-18.88064067,-110.7874452
-114.0734736,-117.7396119,-57.63187312,-89.79259411
-66.32236988,-34.44132551,-52.6974481,-72.98714829
-153.0949427,-59.54867651,-70.93888792,-53.46333234
-58.458196,-153.2912458,-56.27271025,-97.35047658
-135.1742528,-158.0733331,-79.51513226,-11.99075635
-108.8500303,-8.856285254,-84.64262199,-155.4633767
