Small_Model_Run_1,Small_Model_Run_2,Small_Model_Run_3,Mid_Model_Run_1,Mid_Model_Run_2,Mid_Model_Run_3,Large_Model_Run_1,Large_Model_Run_2,Large_Model_Run_3
-135.9785614,-150.7979126,-158.4554138,-113.6826248,-119.7798386,-111.0673141,-118.0037155,-123.6373825,-130.2757874
-133.2011261,-149.0661621,-157.3944702,-112.4645615,-119.1811752,-112.0274277,-116.4069214,-122.9536743,-129.0965118
-132.7724609,-147.8858795,-156.9179688,-112.2869186,-118.6187668,-111.6831207,-116.0567856,-122.5978775,-128.9618683
-131.9459991,-145.935379,-155.319458,-110.7686615,-118.578804,-111.0563354,-115.1841354,-122.497879,-128.3930054
-132.0174103,-145.6660461,-153.9968567,-111.0077591,-117.3058395,-110.6318283,-114.2629166,-121.2725143,-127.0395355
-131.3315887,-144.397171,-152.2563934,-109.8407745,-118.0636063,-110.1266556,-113.4003296,-120.6736526,-125.2648392
-130.9122925,-144.0046692,-151.2557373,-109.7801285,-117.3853226,-109.6708145,-114.6921692,-120.0387878,-124.4396973
-129.5556946,-146.6864471,-149.9321442,-109.6847229,-116.5177307,-108.8672791,-113.3592987,-119.9953842,-124.50914
-128.8572693,-145.6244659,-148.2594757,-110.2068405,-115.6557236,-107.3233032,-113.3072891,-119.428978,-123.5337677
-129.4663849,-144.6426544,-147.3141785,-109.9182129,-115.3217316,-106.7084808,-116.2762299,-118.9963608,-123.4483566
-129.2052612,-143.9274139,-147.7242584,-109.4879379,-115.1391754,-106.6860352,-116.4396515,-117.988945,-121.9828186
-128.9135132,-143.3921509,-146.5713654,-109.1779938,-114.3143387,-106.062973,-116.3772736,-117.8429871,-120.2514267
-128.3277588,-142.5323944,-146.5366821,-108.7823105,-114.5879288,-105.6753311,-115.2338104,-117.2978668,-120.3027039
-127.1815796,-142.6863098,-145.4242096,-108.6819534,-113.7986603,-106.0045013,-114.7325821,-117.1873398,-120.4656677
-126.5303574,-142.0091095,-144.8857727,-107.7816315,-113.8618774,-106.0468597,-114.2635956,-116.4351273,-119.6078796
-127.1382217,-142.483017,-144.4084167,-107.2740784,-113.7703781,-105.6235275,-113.2566147,-116.4285812,-121.3915024
-126.8683701,-141.1338196,-143.5300903,-107.79319,-113.4848557,-105.2861023,-113.0586014,-115.9288864,-121.339798
-127.0225296,-140.5045471,-142.5650635,-107.459259,-112.4467087,-105.0511627,-112.9046936,-115.4035873,-120.5185852
-126.4830399,-139.710022,-141.3632202,-107.0181961,-112.4450378,-104.1765442,-112.4018173,-115.0507889,-119.9064636
-125.7899017,-138.7108917,-140.2655487,-107.3094254,-112.2923355,-103.7549362,-111.1948929,-115.0803909,-119.465683
-124.9100113,-137.2571716,-139.7566833,-107.517395,-111.5634995,-103.019104,-111.1157913,-115.128479,-119.4445877
-124.8611984,-136.4349518,-138.8339844,-107.9266739,-111.0209885,-102.9079132,-110.6548386,-114.1124344,-118.5504227
-124.1488647,-136.0181274,-138.2600403,-106.9862061,-110.270607,-102.3330612,-110.2977905,-113.4476471,-117.6937332
-123.7692871,-135.5350342,-138.8889465,-106.2211304,-110.7485046,-102.5447464,-109.997818,-113.4462891,-117.242836
-122.8625107,-134.5032806,-139.8897552,-106.1500168,-110.3782959,-101.8161087,-109.5945663,-113.7337952,-116.9393692
-121.9764404,-133.5207977,-138.5888214,-105.879425,-109.9456482,-101.8287582,-110.560585,-113.8530579,-116.7729492
-121.1228867,-133.2362213,-138.5568848,-105.6185989,-109.1615524,-101.1851654,-110.4103088,-113.5881805,-116.3961487
-120.8272324,-132.7727661,-137.7622375,-105.2787399,-109.1788254,-100.3084488,-110.2467575,-113.1154861,-115.9085236
-120.6380005,-131.7246857,-137.5644836,-104.7637558,-108.5063095,-100.9700851,-109.1838989,-112.5169754,-115.4954605
-120.9755096,-131.645752,-137.9065857,-104.2954254,-108.1637344,-100.1988297,-109.0298462,-112.294754,-114.6735764
-120.7566452,-130.8074341,-137.6970215,-103.7120056,-107.6447067,-99.89939117,-108.8075714,-110.731842,-114.3023987
-120.6749496,-131.5375519,-137.6259918,-102.9527283,-107.4275513,-99.3359375,-109.1843109,-111.4802399,-113.7064209
