Small_Avg_Episodic_Reward,Mid_Avg_Episodic_Reward,Large_Avg_Episodic_Reward
-134.210111,-38.46902275,-115.0423762
-38.76866595,-77.46835454,-127.6919429
-75.24313196,-53.76113319,-80.57168706
-81.80528259,-71.11992773,-58.44001007
-50.73964057,-75.8767039,-74.61597951
-59.07771047,-82.28708141,-96.11012015
-91.9357961,-41.77746836,-70.03069814
-78.85456974,-94.85566522,-43.2439847
-84.72458521,-88.8944931,-102.9253693
-59.72571437,-61.75647052,-85.54264196
-67.14289013,-77.98059655,-36.85692406
-77.49107486,-90.42700895,-41.03365596
-75.86385219,-82.80767567,-115.5751839
-64.34706242,-67.52661895,-86.61746154
-149.1383038,-63.33723992,-78.38062288
-104.9158859,-78.88864263,-182.4801229
-118.8695094,-93.92048389,-58.7559886
-82.92693454,-63.56191254,-67.07801566
-108.6003545,-96.08879597,-73.94989776
-54.1825409,-94.36297736,-105.3444316
-109.7237015,-87.50675709,-59.94341024
-122.7271754,-80.60342915,-138.3312721
-118.7473399,-105.947319,-95.79231009
-75.70524851,-62.78664398,-73.76371257
-68.15954844,-70.11599669,-73.70945231
-60.28083038,-99.57615407,-68.32211623
-64.41423671,-70.50375111,-113.701093
-61.70230706,-100.0336062,-44.09483401
-69.69260152,-38.55917613,-57.4570516
-127.8115565,-104.2148603,-90.74492901
-120.8311717,-70.23608653,-100.5665334
-31.90849368,-84.47611236,-142.2137298
-72.53667195,-52.41501999,-88.65006256
-87.07059351,-66.94437344,-77.50111644
-103.1117122,-87.91881054,-46.01703151
-118.2876606,-53.06287003,-73.25905482
-113.4594167,-57.95710119,-62.02600352
-96.99834316,-52.42244911,-70.22813797
-126.6829453,-153.8663101,-79.53763073
-58.96105194,-68.06580734,-16.40725136
-62.74962552,-105.2069537,-140.8102074
-90.35656167,-67.373003,-82.19975725
-53.56819216,-138.7297287,-54.77301806
-74.33928045,-44.41247,-69.1146787
-81.69217858,-34.34946791,-112.1137956
-85.32247798,-55.31486956,-49.6057694
-50.33511796,-56.02277375,-54.82600022
-51.74237221,-40.08205732,-64.46085994
-50.33689881,-60.88418077,-53.50219981
-74.77625594,-55.38158035,-74.01543491
-68.2854058,-44.00267283,-65.66056061
-21.74987189,-54.02868652,-28.72607295
-95.25260417,-66.1826121,-74.28434754
-54.57130178,-79.17329471,-52.42886209
-74.78573863,-64.18606455,-72.33691152
-76.37848695,-48.73311233,-53.01452001
-56.95987543,-54.84025256,-7.47850736
-84.22817166,-33.56603337,-54.07762401
-81.72918956,-57.92321397,-98.79731671
-74.4966915,-128.3236999,-132.7192841
-81.98736953,-56.4361159,-83.34892275
-64.9075648,-51.43466059,-1.183721382
-72.93695481,-36.23294099,-94.28166452
-100.8641942,-107.0854543,-13.80233669
-121.6278636,-69.71267318,-19.62434805
-83.85622659,-17.89808941,-44.93948174
-68.64689859,-100.2052616,-30.87494405
-118.7981618,-50.26117579,-75.09560714
-2.246390977,-37.90335655,-158.3000686
-145.7132594,-38.7456007,-38.85683576
-49.23678089,-61.01162211,-61.38236873
-69.28099569,-56.60287221,-159.9273909
-106.6046702,-52.04610507,-46.4806935
-145.8073095,-24.55699825,-57.98152923
-105.2466024,-48.05477397,-30.5796725
-193.6655172,-72.66862552,-46.01407734
-47.20594629,-5.83307616,-88.22011186
-144.8312708,-57.3751208,-45.396698
-101.3160553,-53.57557679,-18.81531111
-122.9940389,-40.07701937,-144.7531446
-120.5070648,-42.18810845,-42.80489636
-86.28406507,-115.1682447,-21.50283941
-131.4425583,-56.11088308,-27.50333166
-122.6523158,-139.2073402,-53.91383108
-61.69896062,-55.94893457,-44.63945343
-111.1376063,-136.14328,-214.9862569
-55.2597014,-9.035541533,-38.76842113
-33.81158511,-43.40233612,-66.58272681
-74.99454371,-15.45471255,-39.361214
-65.2906049,-50.72891362,-3.600276836
-66.29094823,-198.5128046,-48.75423025
-90.77499423,-137.4724731,-36.69555283
-130.3281428,-146.9130577,-107.9508292
-217.6736704,-56.04320406,-61.01900228
-87.55616694,-91.65726661,-60.37726593
-186.3770599,-102.4153074,-88.39983432
-123.5552527,-33.85791461,-106.9023667
-281.4161275,-166.3389308,16.30978298
-101.7507312,-55.99109841,-119.8939444
-85.13577017,-119.9421037,4.82253266
-90.28271674,-50.44897842,-40.24473381
-61.74034246,-131.0071004,-27.69782233
-100.4545822,-69.65521941,-83.19361495
-136.2924805,-76.79749552,-130.677063
-122.7259522,-41.05421543,-48.66027704
-183.9540761,-81.85472521,-6.301013943
-104.702605,-95.18951162,-72.05431461
-102.1328252,0.31125895,-52.34564463
-186.0539894,-29.54867355,-71.30897266
-130.8527273,-24.54906587,-52.2504921
-150.4679006,23.03515053,-82.62822023
-129.2648951,-17.41239548,-21.57317265
-105.8612671,17.77625275,-28.71961248
-113.5408478,-69.93334006,8.267043115
-120.0969668,-38.0285581,1.623351494
-104.2195994,-28.17548307,-14.40123494
-75.65416146,-45.6075573,-11.75943629
-58.65891838,-84.57606253,56.81478913
-156.3698476,-50.8796323,-65.7918253
-104.1659139,-52.32250913,3.745608013
-129.9051425,-3.648778283,-118.5776876
-88.094944,26.65535863,-40.52190271
-78.87319947,34.25187321,-27.71905136
-92.91026498,-80.07530849,33.53053073
-89.56352233,-62.47100846,0.17353026
-51.00904528,44.62039964,40.04113897
-67.19706663,30.57775498,41.6988907
-67.04125532,56.65688769,-59.67462158
-88.95135816,67.50886726,38.88174121
-92.82332229,-11.16564306,92.17958259
-68.71060181,10.99890901,49.60246595
-58.28270977,-57.46189944,74.54444885
-53.54900614,-26.33236758,59.70948409
-77.9297816,64.67701658,57.94535256
-62.05914307,55.61065674,75.84253032
-38.48028056,-55.49497667,38.8174413
-50.48364131,29.96392917,61.58912787
-100.8930511,8.371273043,88.96033518
-56.49128596,80.30321377,1.883291237
