batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
-134.237793,-119.0780792,-142.1603088,-117.855072,-120.2491684,-128.6740723,-121.3382797,-131.8948669,-129.9142303,-118.0744934,-111.1713715,-113.6801529
-133.285202,-118.5305328,-141.658371,-116.922699,-119.5997467,-127.8125916,-120.61306,-131.3424835,-129.8178864,-117.7955475,-110.8434525,-112.5934677
-132.7938385,-118.2363663,-141.2178802,-116.350853,-119.1688766,-127.3026199,-121.068306,-130.4220581,-128.8194885,-117.8263321,-110.8648529,-112.1766357
-131.3933411,-118.0180969,-140.8191681,-115.694725,-118.7322922,-126.1025238,-120.7732697,-130.0904999,-129.131424,-116.7841721,-110.1369247,-111.5982056
-130.7592316,-116.701561,-139.7268066,-114.9380417,-118.1680298,-126.0278473,-119.9667435,-129.7002411,-129.3556366,-115.8766327,-109.1748199,-111.7179413
-130.0013428,-116.4362793,-138.8737335,-113.9832306,-118.7691345,-125.2058945,-119.2498779,-128.4453278,-129.2967682,-115.0812912,-108.1905823,-110.9926071
-128.953186,-116.076828,-137.8052063,-113.1149216,-118.3451462,-124.9450073,-121.1318741,-127.4534607,-128.8826294,-114.4230347,-107.1355743,-110.8527069
-127.7207489,-116.2784805,-137.440506,-113.4968262,-117.8222733,-124.8963852,-121.0981216,-126.1314163,-128.9911652,-113.4835052,-106.2170944,-110.671936
-126.7102356,-116.372261,-136.7802582,-113.6814041,-117.2268372,-124.4404526,-120.6217346,-125.3216705,-128.6227722,-112.4113388,-105.3779678,-110.2163162
-126.2021255,-115.9480667,-136.1159668,-112.687645,-116.8873062,-123.8858185,-120.3191528,-124.548233,-128.4752808,-111.8508301,-105.1047668,-109.6287003
-125.7860336,-115.3944168,-135.9067535,-112.3782578,-116.497963,-123.4547348,-121.0118484,-123.5242767,-127.5051575,-111.4706879,-104.1120377,-108.9716492
-125.2759399,-114.7946472,-135.4487,-112.318779,-115.7567825,-122.924408,-120.6495972,-123.0451202,-128.2833099,-110.9808731,-104.0405579,-108.2055893
-125.1716995,-113.9251175,-134.7365112,-111.9787292,-114.9981918,-122.6331482,-119.4097519,-122.6317062,-127.9951706,-111.6496811,-103.6378326,-108.4258575
-124.3928146,-113.812027,-133.3535919,-111.7440338,-114.6218414,-122.2632675,-119.0931396,-121.7953415,-127.1226807,-110.8699265,-103.5016479,-107.7739944
-123.8829346,-113.1613159,-132.0626221,-111.1449966,-114.3905563,-121.1108017,-118.0726624,-121.1012955,-127.0246811,-109.3897552,-102.9887543,-108.5966644
-123.0631866,-112.9943771,-131.6169739,-110.2386856,-114.1396332,-121.079277,-117.0030212,-120.2699738,-126.1126404,-108.1870575,-102.5607529,-107.4243469
-122.3460312,-112.4114532,-131.1500244,-109.7323456,-113.5751801,-121.0298233,-116.4143143,-119.504364,-127.8817978,-108.3137054,-102.6960449,-106.4963684
-121.300499,-111.8173218,-130.5213928,-109.3798904,-112.2354126,-121.2833939,-115.48423,-119.0302658,-127.1021118,-106.9382706,-102.3973694,-105.9054108
-120.8256836,-111.2342834,-130.8844452,-108.4418488,-111.7744675,-120.8920441,-114.5559616,-118.7476883,-126.4830856,-105.9615097,-102.0059128,-105.5060883
-119.9312897,-111.0610275,-130.6726074,-108.9478149,-111.706871,-120.1351318,-114.8150787,-117.8746262,-126.3714371,-103.7502136,-101.3850174,-105.1050949
-119.4441681,-110.2490997,-130.2281799,-108.3778839,-112.5709991,-119.89048,-114.8484879,-117.962883,-126.9651794,-102.928215,-99.94766998,-103.8636246
-118.5291367,-110.3191452,-129.6073303,-108.0358429,-112.0703125,-119.1177368,-114.1680603,-117.4663849,-127.1006927,-101.7893524,-99.53661346,-103.2326889
-118.1032867,-109.7973175,-129.5799561,-108.319725,-112.2062149,-119.1273804,-114.5761642,-116.6844406,-128.1147308,-101.6146317,-98.71943665,-102.6681213
-118.9991226,-110.4090195,-129.6227875,-108.9378967,-112.1983337,-119.6948471,-116.4523163,-117.4948578,-130.3670959,-99.197052,-100.963028,-104.3238525
-118.2511368,-110.1453934,-127.6043701,-106.3858337,-111.9086304,-119.1185226,-113.3813705,-116.5104904,-131.4843292,-97.77978516,-100.0657806,-102.6768723
