Batch_Size_24,Batch_Size_32,Batch_Size_64,Batch_Size_128
-148.6884969,-77.50809607,-131.1590093,-75.7187198
-163.113528,-88.6913414,-73.3800354,-116.2579981
-93.60318629,-101.4682312,-61.07989375,-113.4862035
-118.4013799,-104.5707016,-106.1760762,-89.39302954
-158.8155823,-113.0142428,-100.0296122,-65.27221553
-60.16597621,-134.4822159,-72.81603497,-141.8927714
-135.8904546,-57.13436539,-186.9337845,-67.14423116
-95.31909945,-71.48384601,-94.5129013,-108.2100957
-105.8429082,-73.17538833,-88.90930177,-97.2318077
-79.5314261,-109.1974487,-122.7220764,-70.77742132
-153.5491689,-76.53037771,-87.51245626,-70.40131456
-152.629804,-90.05344775,-65.79465676,-143.2877732
-34.14036941,-80.85157394,-160.8403575,-151.0768674
-129.029719,-103.678037,-79.36146545,-69.90215109
-86.06067404,-56.45724487,-92.10464985,-79.02579118
-61.89403151,-69.29481952,-97.6547826,-98.37089285
-62.40387726,-80.76202391,-96.38520557,-113.7786204
-115.0296605,-165.0085614,-90.06936137,-91.28514609
-132.0629222,-70.84791564,-68.11081696,-82.08465831
-107.3742319,-67.16177495,-82.61519748,-72.39789645
-93.03957113,-101.2742437,-106.948761,-108.0242996
-37.77659925,-77.75630825,-81.83808516,-71.37110519
-66.26341248,-69.03367869,-110.8883057,-86.66253918
-116.3105037,-79.62695693,-54.82222494,-51.01401138
-194.7830785,-16.48396492,-136.3876877,-91.37798819
-112.4208806,-127.2097142,-67.60130437,-72.07128906
-75.56964747,-116.3004634,-82.19411088,-58.82887904
-103.5870488,-86.50757599,-109.3437678,-76.3586146
-63.04547246,-79.95595042,-100.7487539,-100.2643483
-76.29106204,-78.93712236,-154.145462,-75.6717453
-69.2240308,-107.1732547,-32.60630037,-82.40021768
-91.89935811,-97.03381982,-110.6207835,-122.2705663
-70.24443691,-85.45846048,-114.5920537,-58.11235046
-57.59075992,-173.8915304,-86.39776483,-79.34188843
-79.10375594,-57.91995112,-91.53510794,-68.7817599
-98.46457164,-81.10656738,-88.22898484,-104.1229782
-76.2768949,-59.03502846,-118.274587,-46.7385362
-46.90200488,-82.02923967,-100.080986,-61.98398019
-77.15291087,-87.18515522,-70.15990194,-40.30289713
-59.10523097,-75.8301824,-138.9914335,-57.33853912
-88.07319897,-113.4297079,-90.48342388,-49.90668869
-81.93944424,-93.89072417,-77.97738012,-38.69876957
-80.31982676,-63.69962756,-89.37376403,-66.24843597
-91.50634002,-84.67905935,-86.2736931,-48.04972839
-79.18090947,-77.9577751,-122.137263,-69.78154501
-74.59394202,-75.30294927,-65.75039418,-87.56876372
-55.60608195,-86.78200277,-61.9062678,-48.3189071
-48.67174975,-55.40417417,-67.08639398,-106.11763
-78.6329689,-78.69706407,-34.86312739,-41.47400618
-67.19164403,-80.05173619,-134.1270549,-76.61775018
-50.13987477,-69.22187041,-52.11082268,-50.89780998
-98.97893525,-57.00861804,-61.98320134,-57.82072576
-79.61176044,-103.4033585,-96.46784335,-52.38205592
-63.6012764,-115.2148565,-143.0570323,11.29550425
