LR_00025_Run_1,LR_00025_Run_2,LR_00025_Run_3,LR_0005_Run_1,LR_0005_Run_2,LR_0005_Run_3,LR_00075_Run_1,LR_00075_Run_2,LR_00075_Run_3,LR_001_Run_1,LR_001_Run_2,LR_001_Run_3
-182.0421295,-164.5019836,-171.6139984,-166.5300446,-199.1561584,-148.4266052,-142.9255219,-138.9686432,-162.7093201,-171.1438599,-162.7718964,-160.5897522
-179.1929626,-171.7925873,-175.7922974,-164.2208099,-192.5063629,-149.2017822,-139.6390533,-136.8664551,-163.02771,-168.6824341,-160.6021423,-160.9740448
-176.2417297,-179.6736908,-181.3834534,-164.3779449,-188.6755066,-153.2091827,-138.5756073,-138.4603577,-158.8178101,-166.146759,-157.6843719,-158.3051758
-171.5830383,-191.3605194,-180.7432556,-161.4754639,-186.0941162,-151.9529266,-142.4822998,-136.697876,-162.567276,-165.6430817,-154.3834534,-160.0033875
-168.9973602,-188.4838562,-177.9383698,-155.0065765,-183.293869,-150.7319336,-141.9329224,-133.7139282,-162.5958557,-162.483902,-160.2742462,-160.1868134
-165.3697357,-185.1802673,-176.8231812,-155.2131653,-184.7989044,-152.0070801,-140.916748,-132.3452301,-168.499176,-162.8682098,-158.2410126,-159.0982513
-168.7286377,-183.1009827,-176.5686798,-152.126236,-180.5448151,-154.6548309,-139.3587341,-131.4403229,-167.1612549,-159.8805695,-160.7488403,-156.5858765
-166.9813538,-180.7203064,-175.2086334,-156.4634247,-183.6873169,-154.584259,-136.1287689,-129.1708832,-163.5903778,-158.2402802,-163.0888824,-154.0449371
-164.1714325,-179.7580872,-179.6257935,-166.2467041,-182.2148132,-151.8885345,-135.1056671,-129.8657379,-163.9569092,-153.6421204,-161.070282,-152.1597595
-165.7255249,-176.6639252,-182.8332367,-164.9732056,-179.0885925,-151.4130096,-139.2416687,-129.9320831,-160.7696533,-151.0626831,-162.665451,-148.650116
-170.1235352,-174.4208832,-185.4836884,-171.66716,-177.2902222,-148.1672211,-134.5088959,-128.9237518,-158.4989929,-147.3056183,-162.6937866,-146.9803162
-171.4274292,-175.7906952,-181.5561523,-172.4289398,-174.7249756,-148.4467926,-132.1349487,-133.1015015,-157.0009613,-146.7577209,-161.7041168,-146.7603455
-173.0458984,-173.6259918,-182.8404236,-169.9943085,-179.5560455,-151.3571625,-129.3278961,-138.7138824,-151.9308777,-142.4965668,-159.9201202,-145.2170258
-175.2907562,-172.7609863,-185.524826,-174.6714478,-178.038208,-150.3665466,-129.5011139,-137.4946136,-151.651535,-142.9013672,-160.1969757,-143.6834869
-175.3852692,-182.3197632,-185.023819,-172.7921448,-174.3298645,-148.6418152,-128.526535,-137.1613464,-149.9211578,-141.6855164,-159.3201294,-142.4331818
-174.5957031,-181.5552521,-187.3261261,-177.4628448,-172.6266785,-148.476944,-125.0534515,-135.2281799,-148.4311523,-140.5661163,-156.6073456,-141.7229462
-171.6117554,-179.973877,-185.9546814,-175.259491,-171.4574585,-147.717514,-127.114357,-132.3702698,-147.1821289,-141.8967133,-155.9396667,-141.3199615
-171.55867,-179.6559906,-183.2418823,-172.0796509,-169.6636047,-146.8476715,-127.2477798,-134.3273621,-149.0902557,-139.1130219,-153.2892761,-145.0474548
-173.7114868,-177.4780731,-185.7325745,-170.1503601,-168.6285248,-145.0582886,-125.7181625,-134.4188995,-147.0573883,-136.8548126,-154.009079,-143.5527954
-171.6598206,-180.1074524,-180.3977356,-172.5388184,-164.4358368,-143.1071472,-124.719101,-136.7567596,-147.5548248,-136.4870911,-158.7235718,-141.2486267
-172.5610657,-176.3391876,-183.2152863,-170.7254639,-163.7637024,-141.8430786,-122.8258209,-138.9345093,-151.7592163,-135.7264099,-161.421051,-141.166275
-170.3336182,-176.6959686,-185.6684875,-168.2884674,-160.9768219,-140.3783875,-122.608757,-137.975174,-149.4469147,-136.3188782,-161.1727295,-146.6412354
